video_title,author,comment,video_likes
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@BenjaminBenFisher,"This new format where Xiaoma works at a random Chinese business is just hilarious, I wonder what he'll cook up next ",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@DudeNamedDude1776,I thought the massage would stop after the reveal but nah Xiaoma followed through to the end lmao What a legend ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Maurice_Walker,The fake accent caught me off guard! ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@planetdisco4821,"I’m an Aussie construction worker and over 20years ago I spent two years learning mandarin at night school; then one day i swear to god, I randomly bumped into Jackie Chan on the street while he was filming a movie here in melbourne and I said “Jackie Chan! Ni hao ma! Wo xihuan ni Dian shi!” (Yeah yeah my pinyin is terrible and so is my mandarin lol) While wearing my construction hi-viz. and got a major double-take from him. He smiled and shook my hand and gave Me a big thumbs up. Wish I could’ve filmed that but it was before smart phones. Anyway I still like to order food in mandarin whenever I go to a Chinese restaurant because it makes everyone happy and that’s why I love your videos mate. Might try your app soon!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Qizaichu,Their reactions to you speaking their Language is priceless LOL,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@AuDHD_Mom,"Honestly, I absolutely adore that he's shouting out Chinese owned businesses and filming there. This one had me smiling the entire time!",0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@cgtatted4145,Just randomly doing side quests ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@cheezycow4390,you have another level of confidence,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@maliyaaaaaa,“In my country we do not have hot water” ,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@JT0007,Y&C owner was drop dead gorgeous 🫡🇺🇸🇨🇳,0
Chinese Salon Customers Think White Guy Can’t Understand Their Gossip…,@Eyes_Unclouded,"“Dont kill me”
“What?”",0
